url,name,salary,company,scale
https://www.zhipin.com/job_detail/7bce100abe979ad60Xx909-5ElE~.html?lid=9HwYltrNg6N.search.1&securityId=kIKZlKFzXVtzr-B1JUmYAJRr_AAJviFasMVpZqCc3nbqoYiT8iwJandxVyvAzTct8rQiVoSfsQ5S7D3boF-mQHgT7Q2oPGrBpSwVrrbnXNbRlLoV&sessionId=,Python兼职,1-2K,铁公宝,0-20人
https://www.zhipin.com/job_detail/63ba974298862fbe1n162ti_E1FW.html?lid=9HwYltrNg6N.search.2&securityId=4UheQtxZWNvFK-l1t6lyAf7rPqSh2U2saf1WPVNsK2xajfTfaIf29t6Xq5qdz1F6SPdizHz--xr987T77SAusufYJty5Dkpkp8iQ-idqw5ek7_gB&sessionId=,测试开发工程师,30-40K·15薪,北京字节跳动,0-20人
https://www.zhipin.com/job_detail/accc596068fbcd671XV42tm_FFFU.html?lid=9HwYltrNg6N.search.3&securityId=GLWmqb7BvJpd4-N1ZfEmPFmVacVSYyjaHb5rxCf4pw1Piqk7MyYIM6OgGHPwEySJOLINbY1X-XTXte7VwhcQPj2ey4Op2eW2iitLOQ16K1jRLLfw&sessionId=,Python少儿编程讲师,8-12K,小码教育,0-20人
https://www.zhipin.com/job_detail/291ae2a7dde39a721XJ83920GVNV.html?lid=9HwYltrNg6N.search.4&securityId=K87XXjRdZMYMN-c1_29UZhN5oQiYYNTr-gY-il-HA5BOwtu58gClBLVkf7MVq_2Kh9YzFiZ-zHHqKpueiFi4HNEXCO6Rme_lsVyi8gnkNnAhIGaagJVvuxiWHBkb-K_6Am2jTexGAFdR_3y3e1Rko5g~&sessionId=,抖音直播助理/中控/场控/副播,5-10K·13薪,杭州渐变服饰有限公司,0-20人
https://www.zhipin.com/job_detail/55d84e10f97d83ed1HZ43Nu5EFpS.html?lid=9HwYltrNg6N.search.5&securityId=QOBz6Ccujnm1F-y1yi4cMrRzUT4Elmm_Ova3vGTplkPw5jg_PSnsp5fRfvQn5LRcStQ3eCaT3IcboTZ3CM1Jyh6oPIPCBKrYzZ04UXoCBxxmrMCKjgQ~&sessionId=,软件开发,6-8K,泰兰尼斯,0-20人
https://www.zhipin.com/job_detail/36d08620cbb4143c1Xd72Nq0ElVZ.html?lid=9HwYltrNg6N.search.6&securityId=kwMIdJSlWbSqW-W1GwwdQ0sihbF7RgU17zVQES0wVBeOEMq5kQiq7Cj-NIeqBrMbSuOKuWy43u-aLzBpHqyNRkz3LUvyblMBHnPJehpaMl6FZQvSRkt5&sessionId=,Python开发工程师,5-8K·14薪,锐派软件,0-20人
https://www.zhipin.com/job_detail/b719ca04c8701b611HV82Ny8E1BV.html?lid=9HwYltrNg6N.search.7&securityId=ncdPg4dHupe7N-r151pQvAOzrl6-ki2laBv0pQnp-vXslyNzBw2Lj9eVn8Ila_m136xUsz6Kh2HUsjsDdggLnaiIjsei5VOga0piCl9-pVRY2A3Em0U~&sessionId=,量化研究员,30-50K·15薪,某基金公司,0-20人
https://www.zhipin.com/job_detail/94b732c382d428621HZ439q0FVpR.html?lid=9HwYltrNg6N.search.8&securityId=wLXIenGX_AbfY-o1Xt2l1k3-e3kdT18uKc26lnXSkCR-NqrUJUwOZYDEaQ5B_lShXCqLHipe306PV3nI-SUPflGFQ45A8OOX2dLHzt6z1rtkTg~~&sessionId=,测试开发,30-35K,某大型互联网公司,0-20人
https://www.zhipin.com/job_detail/7e70b1df2f69a60c1n1z3928EFtZ.html?lid=9HwYltrNg6N.search.9&securityId=B8OisEU8BUC7O-S1L7c1Z5lLfTeuCJT8BAaaiL7UWX8idaJ5TtN0QX7nfftnr5GA3eZZ8xKCT_DX4HceCZVgxK_d0zRV6RzfWrek7kM8t9pdPwT7U_4~&sessionId=,后端工程师,10-15K·13薪,皓学,0-20人
https://www.zhipin.com/job_detail/fefe52d719edf00a1X153Ni7E1VY.html?lid=9HwYltrNg6N.search.10&securityId=-IEzf4swVeUTs-x1xQW-6yITqdDnnXgDO61nxYw5ZlTbA2NbOPLZUkNqGRTpd0ejgaZnVLsPc8OOEEn6BlIHZU6x7v0yZZLjZSOrserqiw9ecMUGDY77&sessionId=,数据管理专员,25-50K,某知名投资公司,0-20人
https://www.zhipin.com/job_detail/95147d42bd90ed031Xxz3ty0F1RQ.html?lid=9HwYltrNg6N.search.11&securityId=gkH4it98nu8sh-J1OH2yDHCLiSXf60RWamRc65wVHHgI2K65qYoaxU8yQ5ZL_KvgAJYNVZv2ncIo7mshcQ5IEvTTYYcJ0UbP_II-mTL142eYHgnD4g~~&sessionId=,服务端研发工程师-生活服务,30-60K·15薪,字节跳动,0-20人
https://www.zhipin.com/job_detail/255d85c8d47afce11XZ42di6EFtW.html?lid=9HwYltrNg6N.search.12&securityId=J6TlLkz2Bghxu-g1h8610bFyse-FJ1ueXWjOcU-Q11lxWsNftKYr2net2glnAfOA0UX-toDXw9DSGeY9EUyey5qzVim3U7Rq5BenN3WsgGLqcRQdXg~~&sessionId=,编程老师,8-13K·14薪,竞码科技,0-20人
https://www.zhipin.com/job_detail/e3da3a180027c7281HV63924EVNS.html?lid=9HwYltrNg6N.search.13&securityId=2J6DYKcUJxyIq-u1CiLd0FE42bwbGfnrOKSU2x1hQ7uce1oMTeA8KRNSVXDcArH5W79aVpKhC5cwIMgoPVIEZRyRZlFTUUd29OZDyBOo9q7qMjt7kpo~&sessionId=,少儿乐高老师,6-10K,创想童年,0-20人
https://www.zhipin.com/job_detail/c86f08ca7e6ac9cd1nR_3t60E1c~.html?lid=9HwYltrNg6N.search.14&securityId=kX_yE0jZBgIjq-v1kYtvROVAtHaMIWEm0xx15GPzAKPpWLPnDpnQTr7enFiREbXw718fANekE-aNNDgC692excLD45ohjGjKxgroHBzsnsissQ~~&sessionId=,渗透测试工程师(驻场),9-14K,安恒信息,0-20人
